ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000060688,1256,1102,1580,1947,1352,1318,1285,1257,1131,1127,1321,842,1072
ENSG00000060709,47,92,85,346,75,136,116,154,176,66,230,99,196
ENSG00000060718,229,76,5,31,19,43,3,15,24,56,16,20,17
ENSG00000060749,299,254,359,269,351,325,414,287,302,193,600,552,538
ENSG00000060762,1451,729,1173,936,1214,1075,1568,788,769,817,1106,969,924
ENSG00000060971,2823,2714,3992,2483,3950,2084,5545,2237,1957,1503,1897,1692,2183
ENSG00000060982,100,102,42,67,135,299,96,46,58,21,115,66,142
ENSG00000061273,1504,2981,2292,3613,1776,2031,2713,3526,2601,2757,3195,3018,3606
ENSG00000061337,139,222,121,282,99,160,136,345,185,89,248,164,248
ENSG00000061455,127,187,124,55,297,391,228,221,280,130,445,319,303
ENSG00000061492,0,0,0,0,1,0,0,0,2,0,0,0,1
ENSG00000061656,51,55,28,165,37,46,43,152,58,55,55,40,78
ENSG00000061676,2719,2433,4135,2079,3753,2759,3450,2732,2361,2857,4044,3529,3546
ENSG00000061794,1151,723,1071,545,1294,844,1391,678,619,574,780,837,827
ENSG00000061918,548,561,720,1009,500,397,518,677,562,621,647,717,700
ENSG00000061936,1109,1846,1426,1946,1440,1586,1910,2423,2040,1562,1880,2340,2552
ENSG00000061938,1139,2200,1624,2693,1476,1151,1940,2456,1422,2029,1822,1678,1380
ENSG00000061987,1273,1021,1516,1108,1326,1526,1344,962,952,892,1263,1338,1185
ENSG00000062038,765,1972,1857,737,1330,773,1732,3539,1508,1882,3089,2359,2584
ENSG00000062096,0,4,3,0,0,13,5,0,0,7,11,13,0
ENSG00000062194,1257,1409,2069,1749,2453,1422,2002,2421,1511,2239,2415,3118,2631
ENSG00000062282,277,320,273,324,98,189,123,239,186,111,231,79,90
ENSG00000062370,115,109,137,105,142,134,144,71,40,127,149,164,120
ENSG00000062485,5487,5574,6238,7454,4471,5251,6687,5988,4936,4385,5928,3766,4084
ENSG00000062524,8,41,3,37,11,0,24,26,57,6,40,23,67
ENSG00000062582,1284,752,734,1141,1497,935,1330,829,767,515,678,750,854
ENSG00000062598,2452,2491,3688,4026,2074,1960,2704,2759,1714,1866,2403,1384,2041
ENSG00000062650,727,621,741,967,911,707,945,721,772,850,1035,756,822
ENSG00000062716,4230,3297,3506,4835,3931,2768,3894,2909,2099,2149,2178,4294,2571
ENSG00000062725,1094,967,1393,794,1444,839,1142,807,735,990,1174,1130,1079
ENSG00000062822,87,556,300,337,293,174,458,369,239,405,536,600,524
ENSG00000063015,27,36,25,43,26,43,53,71,33,16,50,59,40
ENSG00000063046,6757,6863,8788,8904,10426,9008,9272,8862,8467,9321,11463,11314,11430
ENSG00000063127,55,301,315,50,161,323,149,490,439,258,461,206,325
ENSG00000063169,181,544,453,662,274,161,414,663,356,457,389,429,427
ENSG00000063176,344,741,767,721,589,481,767,653,422,559,781,557,585
ENSG00000063177,10547,20493,23187,31927,23155,16947,19602,14013,11366,23366,22914,22390,17805
ENSG00000063180,120,505,673,142,420,523,453,900,732,790,893,915,1129
ENSG00000063241,998,1258,1133,2114,1116,774,2004,860,628,1129,1728,1006,812
ENSG00000063244,2923,4516,3823,5726,2989,2837,3735,5262,4541,3744,4133,3586,3732
ENSG00000063245,1800,3868,2939,3521,2507,1252,3818,2063,1540,2074,2361,2190,2092
ENSG00000063322,2518,2855,3166,3117,1902,2105,2531,2450,1836,2461,2996,1954,2051
ENSG00000063438,139,112,125,138,128,121,149,162,100,73,124,84,102
ENSG00000063515,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000063587,1863,1238,1738,1885,1513,1717,1338,1794,1273,1097,1625,1101,1204
ENSG00000063601,668,1244,1264,1083,715,539,1113,1177,967,880,1680,1236,1133
ENSG00000063660,1219,4788,5661,2397,2660,1034,3265,2971,1805,3240,4878,2400,2507
ENSG00000063761,636,615,455,733,346,465,643,483,414,278,423,285,299
ENSG00000063854,1581,1193,1136,1535,1371,1368,1860,941,943,610,842,689,856
ENSG00000063978,1748,2075,2174,1917,2129,1535,2155,1784,1563,1432,2333,1588,1746
ENSG00000064012,907,1079,764,844,722,778,741,782,1027,585,755,790,557
ENSG00000064042,11344,2851,3109,2064,3298,7694,2420,2894,2510,2863,4655,2363,3807
ENSG00000064102,361,319,412,208,387,340,529,299,379,269,465,463,428
ENSG00000064115,1261,1155,1621,442,1160,1172,1315,1186,901,1076,1901,1473,1050
ENSG00000064195,41,31,56,186,26,31,55,58,6,38,90,34,67
ENSG00000064199,332,180,327,141,184,207,278,115,131,140,148,101,87
ENSG00000064201,13,212,14,65,32,46,45,109,193,15,165,75,88
ENSG00000064205,53,204,277,28,136,12,71,117,33,25,178,66,50
ENSG00000064218,0,12,0,0,0,1,0,0,6,0,0,0,0
ENSG00000064225,180,144,424,260,319,282,291,263,173,180,256,142,274
ENSG00000064270,759,1809,2192,1935,969,819,1663,2746,764,1349,1848,892,1361
ENSG00000064300,160,652,591,545,486,134,860,1120,314,1148,1585,687,658
ENSG00000064309,225,269,213,106,291,106,200,272,204,536,468,509,355
ENSG00000064313,648,793,726,613,634,559,542,479,633,743,901,562,498
ENSG00000064393,3595,4898,5570,4504,3374,1990,4078,2026,2397,1554,2320,1696,2080
ENSG00000064419,2073,2581,2226,1773,1777,1469,2160,1829,2410,1566,2367,1901,1739
ENSG00000064489,224,430,314,347,288,241,327,360,204,305,323,219,258
ENSG00000064490,1650,1283,1278,1266,1042,1309,1244,1055,1065,911,1067,970,927
ENSG00000064545,446,917,790,1766,815,456,836,616,428,601,864,703,695
ENSG00000064547,863,1011,962,1639,731,573,892,594,590,463,684,288,415
ENSG00000064601,2939,3819,2338,3031,2605,2992,3144,3722,2768,2445,3613,2291,2565
ENSG00000064607,2409,4833,4838,4699,3015,2559,3994,4499,3274,3457,4819,3743,4169
ENSG00000064651,778,494,1589,2006,1579,606,1621,1094,310,654,610,814,620
ENSG00000064652,360,215,311,230,319,286,335,178,141,133,282,262,240
ENSG00000064655,1047,2011,1633,968,1669,908,1838,2586,1500,1767,2375,2895,1788
ENSG00000064666,1633,3622,2863,1241,2067,2107,3191,4053,2997,2906,3772,3388,3439
ENSG00000064687,183,950,562,355,327,200,600,457,573,280,597,373,367
ENSG00000064692,147,501,284,197,282,181,451,735,542,567,559,593,492
ENSG00000064703,462,350,535,362,539,508,414,340,367,473,552,496,464
ENSG00000064726,1209,991,1816,1115,1175,1014,1605,844,973,1054,1418,1181,1040
ENSG00000064763,306,169,166,118,247,313,245,136,171,117,163,202,268
ENSG00000064787,3971,2317,4069,1617,1954,2141,5011,1678,934,2252,1864,1022,1635
ENSG00000064835,0,0,0,0,1,0,0,0,0,0,0,2,0
